route_name,direction,stop_seq,stop_lon,stop_lat,stop_name,stop_full_name
101,0,1,116.332561,39.92816,百万庄西口,北京市海淀区百万庄西口(公交站)
101,0,2,116.338186,39.928186,百万庄中街,北京市西城区百万庄中街(公交站)
101,0,3,116.343994,39.929218,百万庄东口,北京市西城区百万庄东口(公交站)
101,0,4,116.345917,39.923244,展览路,北京市西城区展览路(公交站)
101,0,5,116.350594,39.923397,阜成门外,北京市西城区阜成门外(公交站)
101,0,6,116.354397,39.923516,阜成门,北京市西城区阜成门(公交站)
101,0,7,116.358269,39.92276,阜成门内,北京市西城区阜成门内(公交站)
101,0,8,116.367065,39.923916,白塔寺东,北京市西城区白塔寺东(公交站)
101,0,9,116.374908,39.924088,西四路口东,北京市西城区西四路口东(公交站)
101,0,10,116.379333,39.922626,西安门,北京市西城区西安门(公交站)
101,0,11,116.389041,39.922374,北海,北京市西城区北海(公交站)
101,0,12,116.395645,39.923275,神武门,北京市西城区神武门(公交站)
101,0,13,116.404961,39.924267,沙滩路口西,北京市东城区沙滩路口西(公交站)
101,0,14,116.412652,39.924249,美术馆东,北京市东城区美术馆东(公交站)
101,0,15,116.418976,39.924297,东四路口东,北京市东城区东四路口东(公交站)
101,0,16,116.424522,39.924461,朝内小街,北京市东城区朝内小街(公交站)
101,0,17,116.43261,39.924381,朝阳门内,北京市东城区朝阳门内(公交站)
101,0,18,116.439401,39.924323,朝阳门外,北京市朝阳区朝阳门外(公交站)
101,0,19,116.443368,39.92375,神路街,北京市朝阳区神路街(公交站)
101,0,20,116.451567,39.922279,东大桥路口东,北京市朝阳区东大桥路口东(公交站)
101,0,21,116.45497,39.920842,关东店,北京市朝阳区关东店(公交站)
101,0,22,116.460417,39.919722,呼家楼西,北京市朝阳区呼家楼西(公交站)
101,0,23,116.471664,39.916256,小庄路口东,北京市朝阳区小庄路口东(公交站)
101,0,24,116.476913,39.91555,红庙路口西,北京市朝阳区红庙路口西(公交站)
101,0,25,116.482208,39.915337,红庙路口东,北京市朝阳区红庙路口东(公交站)
101,1,1,116.482208,39.915337,红庙路口东,北京市朝阳区红庙路口东(公交站)
101,1,2,116.476913,39.91555,红庙路口西,北京市朝阳区红庙路口西(公交站)
101,1,3,116.471664,39.916256,小庄路口东,北京市朝阳区小庄路口东(公交站)
101,1,4,116.460417,39.919722,呼家楼西,北京市朝阳区呼家楼西(公交站)
101,1,5,116.45497,39.920842,关东店,北京市朝阳区关东店(公交站)
101,1,6,116.449097,39.923056,东大桥路口西,北京市朝阳区东大桥路口西(公交站)
101,1,7,116.443368,39.92375,神路街,北京市朝阳区神路街(公交站)
101,1,8,116.439401,39.924323,朝阳门外,北京市朝阳区朝阳门外(公交站)
101,1,9,116.43261,39.924381,朝阳门内,北京市东城区朝阳门内(公交站)
101,1,10,116.424522,39.924461,朝内小街,北京市东城区朝内小街(公交站)
101,1,11,116.418976,39.924297,东四路口东,北京市东城区东四路口东(公交站)
101,1,12,116.412652,39.924249,美术馆东,北京市东城区美术馆东(公交站)
101,1,13,116.404961,39.924267,沙滩路口西,北京市东城区沙滩路口西(公交站)
101,1,14,116.395645,39.923275,神武门,北京市西城区神武门(公交站)
101,1,15,116.389041,39.922374,北海,北京市西城区北海(公交站)
101,1,16,116.379333,39.922626,西安门,北京市西城区西安门(公交站)
101,1,17,116.374908,39.924088,西四路口东,北京市西城区西四路口东(公交站)
101,1,18,116.367065,39.923916,白塔寺东,北京市西城区白塔寺东(公交站)
101,1,19,116.358269,39.92276,阜成门内,北京市西城区阜成门内(公交站)
101,1,20,116.354397,39.923516,阜成门,北京市西城区阜成门(公交站)
101,1,21,116.350594,39.923397,阜成门外,北京市西城区阜成门外(公交站)
101,1,22,116.345917,39.923244,展览路,北京市西城区展览路(公交站)
101,1,23,116.340958,39.9231,阜外西口,北京市西城区阜外西口(公交站)
101,1,24,116.33448,39.92408,甘家口北,北京市海淀区甘家口北(公交站)
