stop_id,stop_name,stop_lon,stop_lat,stop_full_name
S0003,百万庄东口,116.343994,39.929218,北京市西城区百万庄东口(公交站)
S0006,阜成门,116.354397,39.923516,北京市西城区阜成门(公交站)
S0007,阜成门内,116.358269,39.92276,北京市西城区阜成门内(公交站)
S0008,白塔寺东,116.367065,39.923916,北京市西城区白塔寺东(公交站)
S0010,西安门,116.379333,39.922626,北京市西城区西安门(公交站)
S0016,朝内小街,116.424522,39.924461,北京市东城区朝内小街(公交站)
S0020,东大桥路口东,116.451567,39.922279,北京市朝阳区东大桥路口东(公交站)
S0027,阜外西口,116.340958,39.9231,北京市西城区阜外西口(公交站)
S0029,北京南站,116.377671,39.866619,北京市丰台区北京南站(公交站)
S0030,永定门汽车站,116.383287,39.870497,北京市东城区永定门汽车站(公交站)
S0031,陶然桥北,116.387734,39.873724,北京市西城区陶然桥北(公交站)
S0032,太平街,116.387465,39.879935,北京市西城区太平街(公交站)
S0033,虎坊路,116.385039,39.884414,北京市西城区虎坊路(公交站)
S0034,虎坊桥路口西,116.382225,39.889339,北京市西城区虎坊桥路口西(公交站)
S0035,果子巷,116.378952,39.889259,北京市西城区果子巷(公交站)
S0039,西单路口南,116.37421,39.905825,北京市西城区西单路口南(公交站)
S0040,西单商场,116.373906,39.910868,北京市西城区西单商场(公交站)
S0041,缸瓦市,116.373596,39.919163,北京市西城区缸瓦市(公交站)
S0046,动物园枢纽站,116.340382,39.937018,北京市西城区动物园枢纽站(公交站)
S0047,甘家口东,116.337296,39.922977,北京市西城区甘家口东(公交站)
S0048,西四路口西,116.37145,39.923984,北京市西城区西四路口西(公交站)
S0049,甘石桥,116.373733,39.91566,北京市西城区甘石桥(公交站)
S0051,虎坊桥路口南,116.384731,39.887526,北京市西城区虎坊桥路口南(公交站)
S0052,太平街北口,116.387321,39.882133,北京市西城区太平街北口(公交站)
S0053,南站幸福路,116.383987,39.868408,南站幸福路(公交站)
S0055,北京站西街,116.421658,39.902496,北京站西街(公交站)
